C	Š
T,	Ṭ
S,	Ṣ
J	Ŋ
Ĝ	Ŋ
H	Ḫ
SZ	Š
₁	1
₂	2
₃	3
₄	4
₅	5
₆	6
₇	7
₈	8
₉	9
₀	0
X	×
