"MesZL","ŠL/HA","aBZL","HethZL","Sign Name","Unicode Glyph","Unicode Name","Comments "
732,455,"239a","265*B","LIBIR (IGI.ŠÈ)","U+12146 𒅆 & U+120A0 𒂠","IGI & ESH2","  "
683,430,342,"266","GIR4 (U.AD)","U+1230B 𒌋 & U+1201C 𒀜","U & AD","  "
681,427,348,"267","MI","U+1222A 𒈪","MI","  "
704,445,349,"268","DUGUD","U+12082 𒂂","DUGUD","  "
705,446,350,"269","GIG (MI.NUNUZ)","U+1222A 𒈪 & U+1226D 𒉭","MI & NUNUZ","GIG not really splittable "
154,"103a",46,"27","MÙŠxA","U+1223A 𒈺","MUSH3 TIMES A","  "
684,428,345,"270","ŠAGAN (U.GAN/ŠU4.GAN)","U+1230B 𒌋 & U+120F6 𒃶","U & GAN","  "
682,429,343,"271","GUL (SÚN)","U+12122 𒄢","GUL","  "
663,412,358,"272","UGU (U.KA)","U+1230B 𒌋 & U+12157 𒅗","U & KA","  "
678,425,"291a","273","KIŠ","U+121A7 𒆧","KISH","  "
165,54,63,"274","BURU14 (EN×KÁR/EN×GÁN)","U+12098 𒂘","EN TIMES GAN2","  "
698,441,344,"275","UL (DU7)","U+1230C 𒌌","U GUD","  "
697,"438n"," ","276","AMAR×KUG"," "," ","Hitt. "
,,,"276","AMAR×KUG DMS PUA","U+E005",,
672,420,352,"277","ÁB","U+12016 𒀖","AB2","  "
,"396n"," ","278","KISIM5 variant"," "," ","  "
,,,"278","KISIM₅ DMS","U+121A8",,
691,434,356,"279","TÙM (NIM×KÁR)","U+12250 𒉐","NIM TIMES GAN2 TENU","  "
,,,"28","SI×SÁ DMS PUA","U+E000",,
,,,"280","KISIM₅×LA DMS PUA","U+E006",,
,,,"281","KISIM₅×GU₄ DMS PUA","U+E007",,
,,,"282","KISIM₅×GA DMS PUA","U+E008",,
454,"290n"," ","283","DAG.KISIM5× Ú.MAŠ/BAR"," "," ","Hitt. "
,,,"283","KISIM₅×(Ú.MAŠ) DMS PUA","U+E009",,
680,"426a"," ","284","ÁB×A"," "," ","Hitt. "
,,,"284","ÁB×A","U+12371",,
461,"294b"," ","285","KISIM5×A.MAŠ DMS PUA","U+E010","KISIM5 TIMES A PLUS MASH","  "
591,377,232,"286","LIŠ","U+121FA 𒇺","LISH","  "
,,,"287","11 DMS","U+1230B & U+12079",,
,,,"287B","12 DMS","U+1230B & U+1222B",,
,,,"287C","13 DMS","U+1230B & U+12408",,
,,,"287D","14 DMS","U+1230B & U+12409",,
,,,"287E","15 DMS","U+1230B & U+1240A",,
,,,"287F","16 DMS","U+1230B & U+1240B",,
,,,"287G","17 DMS","U+1230B & U+1240C",,
,,,"287H","18 DMS","U+1230B & U+1240D",,
,,,"287I","19 DMS","U+1230B & U+1240E",,
724,449,233,"288","IGI (ŠI, LIM)","U+12146 𒅆","IGI","  "
726,451,234,"289","AR (IGI.RI)","U+12148 𒅈","IGI RI","  "
139,83,38,"29","ŠÌTA (RAD)","U+122E5 𒋥","SUD2","  "
733,456,240,"290","ḪUL (IGI.UR)","U+12146 𒅆 & U+12328 𒌨","IGI & UR","  "
727,"452v1",237,"291","AGRIG (IGI.DUB)","U+12146 𒅆 & U+1207E 𒁾","IGI & DUB","  "
725,450,235,"292","PÀD (IGI.RU)","U+12146 𒅆 & U+12292 𒊒","IGI & RU","  "
729,454,238,"293","SIG5 (IGI.ERIM)","U+12146 𒅆 & U+1209F 𒂟","IGI & ERIN2","  "
599,384,433,"294","ŠÀ (ŠAG4)","U+122AE 𒊮","SHA3","  "
746,469,362,"295","PAD (ŠUK)","U+1227B 𒉻","PAD","  "
708,471,363,"296","MAN (2×U)","U+12399 𒎙","U U","""20"" "
883,554,450,"297","MUNUS (SAL)","U+122A9 𒊩","SAL","  "
889,557,454,"298","DAM","U+1206E 𒁮","DAM","  "
886,556,451,"299","NIN9, old MUNUS.KU","U+122A9 𒊩 & U+121AA 𒆪","SAL & KU","NeoAssyrian: SAL & MA(U+12220 𒈠) "
887,556,452,"299*B","NIN, old MUNUS.TÚG","U+122A9 𒊩 & U+12306 𒌆","SAL & TUG2","  "
741,"461x",418,"3","PÉŠ","U+1227E 𒉾","PESH2","see MesZL n882 "
141,85,40,"30","GI","U+12100 𒄀","GI","  "
884,555,456,"300","ZUM","U+1236E 𒍮","ZUM","  "
701,444,"291b","301","GÌR","U+1210A 𒄊","GIR3","  "
353,208,292,"302","ANŠE (GÌR×PA or GÌR×""TAB"") ","U+12032 𒀲 ","ANSHE ","  "
703,421,295,"303","ALIM (GÌR× A.IGI)","U+1210B 𒄋","GIR3 TIMES A PLUS IGI","  "
,"421n2",295,"303*B","ALIM (GÌR×IGI)","U+1210D 𒄍","GIR3 TIMES IGI","old "
891,559,458,"304","GU","U+12116 𒄖","GU","  "
890,558,459,"305","GÉME (MUNUS.KUR)","U+122A9 𒊩 & U+121B3 𒆳","SAL & KUR","  "
693,435,244,"306","LAM","U+121F4 𒇴","LAM","  "
899,564,455,"307","EL","U+12096 𒂖","EL","  "
893,560,449,"308","NAGAR","U+12244 𒉄","NAGAR","  "
23,53," ","309","ŠAḪ","Neo-Assyrian: use U+122DA 𒋚 (ŠUBUR)"," ","  "
,"085n2(v)"," ","31","GI×E","U+12101 𒄁","GI TIMES E","Hitt. esp. Hurr. "
900,565,248,"310","LUM","U+1221D 𒈝","LUM","  "
905,567,243,"311","SIG4","U+122DE 𒋞","SIG4","  "
901,565,242,"311*B","MÚRGU (""LUM"")","U+12231 𒈱","MURGU2","  "
736,457,431,"312","DI","U+12072 𒁲","DI","  "
737,461,432,"313","KI","U+121A0 𒆠","KI","  "
742,"461_280; 464"," ","313B","KIMIN (U7) DMS PUA","U+E00D"," ","  "
689,431,364,"314","NÁ","U+1223F 𒈿","NA2","  "
88,58,283,"315","GUR8 (TE-gunû)","U+122FD 𒋽","TE GUNU","  "
596,381,332,"316","UD (BABBAR)","U+12313 𒌓","UD","  "
598,383,370,"317","PI","U+1227F 𒉿","PI","  "
,"383n2(v) ","  ","318","PI×AB ","U+12281 𒊁 ","PI TIMES AB ","Hitt. esp. Hurr. "
,"383n3(v)"," ","319","PI×I","U+12285 𒊅","PI TIMES I ",
142,86,39,"32","RI","U+12291 𒊑","RI","  "
,"383n4(v)"," ","320","PI×BI","U+12282 𒊂","PI TIMES BI ",
,"383n6(v)"," ","321","PI×Ú","U+12289 𒊉","PI TIMES U2 ",
,"383n5(v)"," ","322","PI×E","U+12284 𒊄","PI TIMES E ",
,"383n8(v)"," ","323","PI×U","U+12287 𒊇","PI TIMES U ",
,"383n7(v)"," ","324","PI×BU","U+12283 𒊃","PI TIMES BU ",
,"383n9(v)"," ","325","PI×IB","U+12286 𒊆","PI TIMES IB ",
,"383n10(v)"," ","326","PI×A","U+12280 𒊀","PI TIMES A ",
612,393,247,"327","ERIM (ZÁLAG)","U+1209F 𒂟","ERIN2","  "
614,394,371,"328","NUNUZ","U+1226D 𒉭","NUNUZ","  "
578,366,369,"329","KUR","U+121B3 𒆳","KUR","  "
140,84,41,"33","ZI","U+12363 𒍣","ZI","  "
119,465,361,"330","DIN","U+12077 𒁷","DIN","  "
711,472,366,"331","EŠ (3×U)","U+1230D 𒌍","U U U","""30"" "
,,,"331B","3×U = 30 DMS PUA","U+E00E",,
635,397," ","332","A'","U+1202A 𒀪","ALEPH","late variant of n636 "
636,398,280,"332B","AḪ (ḪI×NUN) DMS SWAPPED","U+12134 𒄴","HI TIMES NUN","  "
644,401,281,"333","ḪAR (ḪI×ÁŠ)","U+1212F 𒄯","HI TIMES ASH2","  "
643,400,287,"334","BIR (ḪI×ŠE)","U+12135 𒄵","HI TIMES SHE","  "
631,396,277,"335","ḪI (DÙG)","U+1212D 𒄭","HI","  "
632,396,277,"335*B","ŠÁR","U+122B9 𒊹","SHAR2","  "
712,473,374,"335*C","NIMIN (4×U)","U+1240F 𒐏","NUMERIC SIGN FOUR U","""40"" "
633,396," ","335B","TÍ DMS","U+12397 𒎗"," ","only Assyrian "
562,350," ","336","GAŠAN","U+120FD 𒃽","GASHAN","  "
563,"350_8"," ","336*B","U-gunû/BÙR-gunû","U+12434 𒐴","NUMERIC SIGN ONE BURU","  "
,,,"336B","“GAŠAN+TI” DMS PUA","U+E00A",,
641,399,297,"337","IM ","U+1214E 𒅎 ","IM ","  "
579,367,378,"338","ŠE","U+122BA 𒊺","SHE","  "
580,371,265,"339","BU (GÍD)","U+1204D 𒁍","BU","  "
145,"087a",48,"34","TÙR (NUN.LAGAR)","U+12263 𒉣 & U+121EC 𒇬","NUN & LAGAR","  "
583,372,379,"340","UZ (US)","U+122BA 𒊺 & U+12137 𒄷","SHE & HU","  "
584,373,266,"341","SUD (BU-gunû)","U+122E4 𒋤","SUD","  "
585,374,267,"342","MUŠ","U+12232 𒈲","MUSH","  "
85,59,381,"343","LI","U+121F7 𒇷","LI","  "
587,375,380,"344","TIR","U+12301 𒌁","TIR","  "
,,,"345","ŠE.NAGA","U+122BA 𒊺 & U+12240 𒉀",,"  "
86,58,382,"346","TU","U+12305 𒌅","TU","  "
714,475,376,"347","NINNU (5×U) DMS","U+12410 𒐐","NUMERIC SIGN FIVE U","""50"" "
,,,"348","ḪUŠ = ḪI.GÌR DMS","U+1212D & U+1210A",,
646,403,384,"349","SUḪUR","U+122E6 𒋦","SUHUR","  "
131,77,32,"35","KUN","U+121B2 𒆲","KUN","  "
292,164,388,"350","SUM","U+122E7 𒋧","SUM","  "
570,355,296,"351","LUL (NAR) DMS PUA (LUL/NAR split in Hitt)","U+E011","LUL","  "
293,165,377,"352","NAGA","U+12240 𒉀","NAGA","  "
541,"331e, 152iv",385,"353","SAR","U+122AC 𒊬","SAR","  "
261,148,386,"354","IN","U+12154 𒅔","IN","  "
640,"406v1",279,"355","KAM (ḪI.BAD)"," "," ","n595 KAM (ḪI×BAD) U+12130 𒄰 "
,,,"355","TU₇ DMS","U+12130","HI TIMES BAD",
748,480,390,"356","DIŠ (1)","U+12079 𒁹","DISH","DIŠ ""1"", GEŠ2 ""60"" "
749,480," ","356","NIGIDA (DIŠ)"," "," ","use U+12079 𒁹 DISH "
753,532,392,"357","ME","U+12228 𒈨","ME","""100"". Can mean priest in some cases. "
750,481,391,"358","LAL (LÁ)","U+121F2 𒇲","LAL","  "
716,477," ","359","7×U DMS","U+12412 𒐒","NUMERIC SIGN SEVEN U","""70"" "
717,478," ","359B","8×U DMS","U+12413 𒐓","NUMERIC SIGN EIGHT U","""80"" "
143,87,47,"36","NUN","U+12263 𒉣","NUN","  "
754,"533, 533v1"," ","360","MEŠ","U+1238C 𒎌","MESH","""90"", plural sign "
,,,"360B","90 DMS","U+12414 𒐔",,
825,570,465,"361","MIN (2)","U+1222B 𒈫","MIN","""2"" "
751,482," ","362","LÁL (LAL×LAL)","U+121F3 𒇳","LAL TIMES LAL","  "
,,,"363","ŠUR₄ = LÁL.SAR DMS","U+121F3 & U+122AC","LAL TIMES LAL & SAR",
839,579,470,"364","A","U+12000 𒀀","A","  "
,,,"364L","A+NA ligature DMS PUA","U+F005",,
,,,"365","ÍD = A.ENGUR DMS","U+12000 & U+121C9","A & LAGAB TIMES HAL",
851,586,474,"366","ZA","U+1235D 𒍝","ZA","  "
856,589,475,"367","ḪA (KU6)","U+12129 𒄩","HA","  "
834,593,"EŠ5:469","368","EŠ5(3)","U+12408 𒐈","NUMERIC SIGN THREE DISH","""3"" "
859,597,473,"369","NÍG (GAR, NINDA)","U+120FB 𒃻","GAR","  "
118,73,23,"37","TI","U+122FE 𒋾","TI","  "
860,597,472,"370","LIMMU (""NÍG"", 4)","U+1243C 𒐼","NUMERIC SIGN FOUR VARIANT FORM LIMMU","""4""; variants: U+1243E 𒐾, U+1243F 𒐿 "
,,,"370*B","DMS","U+12409 𒐉","NUMERIC SIGN FOUR DISH","""4"" "
861,"598a",476,"371","IÁ (5)","U+1240A 𒐊","NUMERIC SIGN FIVE DISH","""5"" "
862,"598b",477,"372","ÀŠ","U+1240B 𒐋","NUMERIC SIGN SIX DISH","""6"" "
863,"598n1 ",478,"373","IMIN (7) ","U+12153 𒅓 ","IMIN ","  "
866,"598c",478,"373*B","IMIN (7)","U+12442 𒑂","NUMERIC SIGN SEVEN VARIANT FORM IMIN A","""7""; see also n863 "
,,,"373*C","DMS","U+1240C 𒐌","NUMERIC SIGN SEVEN DISH","""7""; see also n866 "
864,"598n2",479,"374","USSU (8)","U+1240D 𒐍","NUMERIC SIGN EIGHT DISH","""8""; see also n867 "
867,"598d"," ","374*B","USSU (8)","U+12444 𒑄","NUMERIC SIGN EIGHT VARIANT FORM USSU","""8""; see also n864 "
868,"598e",480,"375","ILIMMU (9)","U+12446 𒑆","NUMERIC SIGN NINE VARIANT FORM ILIMMU","""9"" "
130,76,31,"38","MÁŠ","U+12227 𒈧","MASH2","  "
134,79,42,"39","NAM","U+12246 𒉆","NAM","  "
5,9,3,"4","BAL","U+12044 𒁄","BAL","  "
164,99,62,"40","EN","U+12097 𒂗","EN","  "
153,"103v",44,"41","MÙŠ (INANNA)","U+12239 𒈹","MUSH3","  "
151,101,56,"42","SUR (ŠUR)","U+122E9 𒋩","SUR","  "
111,68,60,"43","RU","U+12292 𒊒","RU","  "
807,535,394,"44","IB","U+12141 𒅁","IB","  "
766,494,399,"45","U8 (LAGAB× GU4overGU4","U+121C7 𒇇","LAGAB TIMES GUD PLUS GUD","Unicode: better ... GUD OVER GUD "
744,467,"ŠUL:438","46","ŠUL (DUN)","U+12084 𒂄","DUN","  "
815,538,447,"47","KIN","U+121A5 𒆥","KIN","  "
826,571,439,"48","ŠUŠANA (1/3)","U+1245A 𒑚","NUMERIC SIGN ONE THIRD DISH","""1/3"" "
148,88,226,"49","KAB","U+1218F 𒆏","KAB","  "
149,88,445,"49*B","ḪÚB","U+12138 𒄸","HUB2","  "
115,71,28,"5","ŠIR ","U+122D3 𒋓 ","SHIR ","  "
150,89,446,"50","ḪUB (ḪÚB×UD)","U+1213D 𒄽","HUB2 TIMES UD","  "
828,575,400,"51","UR","U+12328 𒌨","UR","  "
830,576,426,"52","GIDIM","U+12107 𒄇","GIDIM","Unicode reference glyph wrong? "
827,574,444,"53","TUK (TUG)","U+12307 𒌇","TUK","  "
408,252,97,"54","SILA4 (GÁ×PA)","U+120E2 𒃢","GA2 TIMES PA","  "
801,528,408,"55","LAGAB×NÍG","U+121C5 𒇅","LAGAB TIMES GAR","  "
387,233,93,"56","GÁ (MAL)","U+120B7 𒂷","GA2","  "
392,237,94,"57","AMA (GÁ×AN)","U+120BC 𒂼","GA2 TIMES AN","  "
411,255,99,"58","ÙR (GÁ×NIR)","U+120E1 𒃡","GA2 TIMES NUN OVER NUN","  "
418,261,100,"59","ÉSAG (GÁ/É×ŠE) ","U+120E5 𒃥 ","GA2 TIMES SHE ","sub MesZL 495 only É.ŠE, esagx "
6,10,8,"6","GÍR","U+12108 𒄈","GIR2","  "
7,10,8,"6*B","GÍR-gunû","U+12109 𒄉","GIR2 GUNU","  "
431,278,105,"60","GALGA (GÁ/É×NÍG) ","U+120CC 𒃌 ","GA2 TIMES GAR ","  "
174,105,106,"61","GÁN","U+120F7 𒃷","GAN2","  "
818,541,398,"62","EREN (SÍG.NUN)","U+1209E 𒂞","EREN","  "
821,544," ","63","ŠÉŠ (SÍG.LAM)","U+122C1 𒋁","SHESH2","  "
,,,"64","ŠU+NÍGIN DMS PUA","U+E001",,
816,539,395,"65","SÍG / SÍK","U+122E0 𒋠","SIK2","  "
,,,"66","SÍG+MUNUS DMS PUA","U+E002",,
136,80,61,"67","IG (GÁL)","U+12145 𒅅","IG","  "
567,354,225,"68","ŠU","U+122D7 𒋗","SHU","  "
568,"354b","227a","68*B","KAD4","U+12192 𒆒","KAD4","  "
745,468,428,"69","KUG (KÙ)","U+121AC 𒆬","KU3","  "
,,,"69L","KÙ+BABBAR ligature DMS PUA","U+F000",,
9,12,231,"7","TAR","U+122FB 𒋻","TAR","  "
571,356,228,"70","SA6","U+122B7 𒊷","SHA6 (bad!)","  "
166,"100; 063x",365,"71","DÀR","U+12070 𒁰","DARA3","  "
380,231,261,"72","NI","U+1224C 𒉌","NI","BE3, DIG, I3, IA3, LE2, LI2, LID2, NE2, ŠUŠ2, ZAL, ZAR2 "
385,"229n ",262,"73","NA4 (NI.UD) ","U+1224C 𒉌 & U+12313 𒌓 ","NI & UD ","  "
690,433,355,"74","NIM","U+1224F 𒉏","NIM","  "
379,230,260,"75","GAG (KAK)","U+12195 𒆕","KAK","  "
,"231n2(v)"," ","76","NI×E","U+1224D 𒉍","NI TIMES E","Hitt. esp. Hurr. "
437,232,263,"77","IR (GAG-gunû)","U+12155 𒅕","IR","  "
514,330,253,"78","LÚ","U+121FD 𒇽","LU2","  "
535,331,"021b ","79","ŠEŠ (ÙRI) ","U+122C0 𒋀 ","SHESH ","  "
10,13,9,"8","AN","U+1202D 𒀭","AN","  "
173,"104_6",443,"80","AŠGAB","U+1203F 𒀿","ASHGAB","  "
127,97,52,"81","AG","U+1201D 𒀝","AK","  "
129,98,53,"82","MÈ (AG×ERIM)","U+1201E 𒀞","AK TIMES ERIN2","  "
183,113,37,"83","DAR (GÙN; ḪU-gunû, SI-gunû)","U+1206F 𒁯","DAR","  "
20,52,334,"84","ITI (UD×EŠ) ","U+12317 𒌗 ","UD TIMES U PLUS U PLUS U ","  "
162,93,302,"85","ŠINIG (GAD.NAGA)","U+122D2 𒋒","SHINIG","  "
181,112,164,"86","SI","U+122DB 𒋛","SI","Verb meaning ""to fill"", which has more active force than the intransitive verb TUŠ (to sit, dwell), having a highly ideological meaning.   "
201,122,50,"87","MÁ","U+12223 𒈣","MA2",
557,348,220,"88","DUN4 (UR-gunû-šeššig/MIR-šeššig)","U+12088 𒂈","DUN4","  "
207,123,164,"89","DIR(SI.A)","U+122DB 𒋛 & U+12000 𒀀","SI & A","  "
90,56,5,"9","APIN (ENGAR)","U+12033 𒀳","APIN","  "
209,124,109,"90","TAB","U+122F0 𒋰","TAB","""2"" "
221,126,122,"91","TAG (ŠUM)","U+122F3 𒋳","TAG","  "
,"126bv",122,"91*B","TAG×GU4","U+122F5 𒋵","TAG TIMES GUD","  "
,"126cv",122,"91*C","TAG×ŠU","U+122F7 𒋷","TAG TIMES SHU","  "
,"126dv",122,"91*D","TAG×UD","U+122F9 𒋹","TAG TIMES UD","  "
,"126fv",122,"91*E","TAG×TÚG","U+122F8 𒋸","TAG TIMES TUG2","  "
297,131,180,"92","AZ (PIRIG×ZA)","U+1228D 𒊍","PIRIG TIMES ZA","  "
,,,"92B","PIRIG DMS","U+1228A",,
296,130,179,"93","UG (PIRIG×UD)","U+1228C 𒊌","PIRIG TIMES UD","  "
295,"131a"," ","94","NIB (PIRIG×KAL)","U+1228B 𒊋","PIRIG TIMES KAL","  "
89,55,177,"95","LA","U+121B7 𒆷","LA","  "
556,347,"219b, 219a ","96","GÍN ","U+12086 𒂆 ","DUN3 GUNU ","Unicode names pertinent? "
223,128,125,"97","AB","U+1200A 𒀊","AB","  "
238,134,113,"98","UM","U+1231D 𒌝","UM","  "
242,138,"112b","99","DUB","U+1207E 𒁾","DUB","  "
836,595,"TÙN:401a, GÍN:401b",,"GÍN (TÙN)","U+12085 𒂅","DUN3","  "
,"575a",252,,"URBINGU (URoverURcrossed)","U+12329 𒌩","UR CROSSING UR",
,127,109,,"4×TAB forming a cross","U+122F2 𒋲","TAB SQUARED","see MesZL n503 "
,"125a",109,,"TABoverTAB.NIoverNI.DIŠoverDIŠ","U+122F1 𒋱","TAB OVER TAB NI OVER NI DISH OVER DISH","  "
,"115n2",309,,"SAGoverSAG","U+122A7 𒊧","SAG OVER SAG","  "
179,"108x",89,,"GUN (GÚ.UN)","U+12118 𒄘 & U+12327 𒌧","GU2 & UN","  "
,"007v",305,,"SUoverSU","U+122E2 𒋢","SU OVER SU","  "
,"449_46",233,,"DIMSAR","U+12149 𒅉","IGI OVER IGI SHIR OVER SHIR UD OVER UD","  "
,,,,"IDIM","U+12142 𒅂","IDIM","  "
,,,,"TIL","U+12300 𒌀","TIL","  "
,,,,"ÚŠ","U+12357 𒍗","USH2","  "
,,,,,"U+12262 𒉢","NU11","  "
,,,,,"U+12402 𒐂","NUMERIC SIGN FOUR ASH","""4"" "
,,,,,"U+12014 𒀔","AB TIMES U PLUS U PLUS U ",
,,,,"EZEN(KEŠDA)","U+1219F 𒆟","KESH2","  "
,,,,,"U+120EE 𒃮","GABA","  "
,,,,,"U+1236B 𒍫","ZU5","  "
,,,,,"U+1210F 𒄏","GIR3 TIMES PA","  "
,,,,,"U+1224C 𒉌 & U+1209F 𒂟","NI & ERIM","  "
,,,,,"U+12092 𒂒","E2 TIMES SCHE(standard) ",
,,,,,"U+12090 𒂐","E2 TIMES MI ",
,,,,,"U+120B8 𒂸","E2 TIMES A PLUS HA PLUS DA(sic!) ",
,,,,,"U+1208F 𒂏","E2 TIMES GAR ",
,,,,,"U+12091 𒂑","E2 TIMES SAL ",
,,,,,"U+12128 𒄨","GURUSH ",
,,,,,"U+1204A 𒁊","BI TIMES A ",
,,,,,"U+1243A 𒐺","NUMERIC SIGN THREE VARIANT FORM ESH16","""3"" "
,,,,,"U+1243A 𒐺 & U+122F0 𒋰","CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH16 & TAB ",
534,"see n516 ",,,,,,
,,"021a",,,"U+12336 𒌶","URI3 ",
,,,,,"U+12369 𒍩","ZIZ2 ",
,,,,,"U+12473 𒑳","PUNCTUATION SIGN DIAGONAL TRICOLON","  "
,,,,,"U+12238 𒈸","MUSH CROSSING MUSH ",
,,,,,"U+12278 𒉸","NUNUZ KISIM5 TIMES BI ",
,,,,,"U+1224E 𒉎","NI2 ",
,,,,,"U+1242F 𒐯","NUMERIC SIGN THREE SHARU VARIANT FORM ",
,,,,,"U+12089 𒂉","DUR2 ",
,,,,,"U+12247 𒉇","NAM2 ",
,,,,,"U+12365 𒍥","ZI3 ",
,,,,,"U+12409 𒐉","NUMERIC SIGN FOUR DISH","""4"" "
