"MesZL","ŠL/HA","aBZL","HethZL","Sign Name","Unicode Glyph","Unicode Name","Comments "
647,361,"  "," ","GE22 ","  ","  ","  "
648,364,"  "," ","ZUBUR ","  ","  ","Unicode reference glyph form based on CAD Z 6b, not accepted in MSL 14 256f. "
656,"409b ",286," ","ŠÁR×EŠ ","U+1242E 𒐮 ","NUMERIC SIGN THREE SHARU ","""108.000"" "
852,586,474," ","LIMMU5 (""ZA"") ","U+1235D 𒍝 ","ZA ","  "
853,586,"  "," ","NIGIDALIMMU (""ZA"") ","U+1235D 𒍝 ","ZA ","  "
333,187,137,"(123)","NÍNDA× ŠE.A.AN ","important code point missing ",,"  "
300,168,115,"(168)","EDIN","U+12094 𒂔","EDIN","also n499 báhar (""EDIN"") "
813,537,419,"(210?)","DIB (DAB)","U+12073 𒁳","DIB","  "
109,"063c"," ","(227)","KÀD","U+12191 𒆑","KAD3","  "
75,41,182,"(229)","BANŠUR (URU×URUDU)","U+1234E 𒍎","URU TIMES URUDA","  "
133,"078a ",33,"(25)","U5 ","ePSD s.v. u5 HU.SI erroneous. Sign not splittable! ",,
870,546," ","(251)","ÉN (ŠÚ.AN)","U+122D9 𒋙 & U+1202D 𒀭","SHU2 & AN","  "
747,470," ","(287E)","XV (U.IÁ) DMS","U+1230B 𒌋 & U+1240A","U & NUMERIC SIGN FIVE DISH","""15"" "
882,596,418,"(3)","PÉŠ","U+1227E 𒉾","PESH2","variant: n741. code point only for one sign form! "
906,567,243,"(311)","MURGU (""SIG4"")","U+122DE 𒋞","SIG4","  "
613,393," ","(327)","PÍR","use U+1209F 𒂟 ERIN2"," ","  "
662,"350_8"," ","(336*B)","Ugunû, BÙR-gunû CHANGED TO GAŠAN by DMS","U+12434 𒐴","NUMERIC SIGN ONE BURU","  "
135,"79av",43,"(39B?)","BURU5 (NAM.ERIM) etc.","U+12246 𒉆 & U+1209F 𒂟 etc.","NAM & ERIN2","U+12245 𒉅 NAM NUTILLU: uncertain "
497,323," ","(40)","ALAD (KAL×BAD)","U+12198 𒆘","KAL TIMES BAD","  "
1,1,1,"1","AŠ","U+12038 𒀸","ASH","  "
91,57,6,"10","MAḪ","U+12224 𒈤","MAH","  "
246,129," ","100","NAB (ANoverAN)","U+1202E 𒀮","AN OVER AN","  "
247,"129a",10,"101","MUL (ANoverAN .AN)","U+1202F 𒀯","AN THREE TIMES","  "
547,338,215,"102","DÉ (SIMUG)","U+12323 𒌣","UMUM","umum: value not accepted in MesZL. simug, umun2 "
320,"178aa"," ","103","ŠÀM (NÍNDA×AN)","U+12253 𒉓","NINDA2 TIMES AN","  "
324,"181v ","  ","104","AZU (NÍNDA×NUN) ","U+12259 𒉙 ","NINDA2 TIMES NUN ","  "
258,145,132,"105","AD","U+1201C 𒀜","AD","  "
271,152,"152a,b,c ","106","EZEN ","U+120A1 𒂡 ","EZEN ","  "
282,"152_9n"," ","107","EZEN×ŠE DMS PUA","U+E00F"," ","Hitt. "
259,147,126,"108","ZÍ( AB×PA)","U+12362 𒍢","ZE2","  "
230,132,111,"109","URUDU (URUDA)","U+1234F 𒍏","URUDA","  "
239,"135a"," ","109*B","UM×U","U+12321 𒌡","UM TIMES U","  "
,"132n1"," ","109*C","URUDU×U","U+12350 𒍐","URUDA TIMES U","old "
112,75,19,"11","NU","U+12261 𒉡","NU","  "
545,337,"207a/207b","110","MÚRU (MURUB4, NISAG; ITI-gunû)","U+12318 𒌘","UD TIMES U PLUS U PLUS U GUNU","  "
232,195,129,"111","UNUG (AB-gunû and/or AB×EŠ) ","U+12015 𒀕 ","AB GUNU ","  "
486,314,"112a","112","MES (RID)","U+12229 𒈩","MES","  "
253,143,120,"113","GAN","U+120F6 𒃶","GAN","  "
275,"152_8",153,"114","BÀD (UG5 (EZEN×BAD))","U+120A6 𒂦","EZEN TIMES BAD","see also n272 "
266,151,"221a","115","LUGAL","U+12217 𒈗","LUGAL","  "
264,150,254,"116","DÌM (RAB.GAM)","U+12290 𒊐 & U+120F5 𒃵","RAB & GAM","  "
348,205,78,"117","IL (AL×ŠE)","U+1214B 𒅋","IL","  "
685,439,27,"118","PAN","U+1227C 𒉼","PAN","  "
316,176,135,"119","NÍNDA","U+12252 𒉒","NINDA2","  "
338,"190kv","210 and 133","119B","GALAM (SUKUD)","U+120F4 𒃴","GALAM","  "
117,72,26,"12","NUMUN","U+121B0 𒆰","KUL","  "
339,191,138,"120","KUM (GUM)","U+12123 𒄣","GUM","  "
326,183,136,"121","ÁG (NÍNDA×NE)","U+12258 𒉘","NINDA2 TIMES NE","  "
340,192,139,"122","GAZ (KUM×ŠE)","U+12124 𒄤","GUM TIMES SHE","  "
,,,"123","NÍNDA×ŠE.A.AN DMS","U+1225A & U+12000 & U+1202D","NINDA2 TIMES SHE & A & AN",
341,203,72,"124","ÚR","U+1232B 𒌫","UR2","  "
354,207,75,"125","TUM","U+12308 𒌈","TUM","  "
356,209,76,"126","EGIR","U+12095 𒂕","EGIR","  "
544,336,91,"127","LIL","U+121F8 𒇸","LIL","see also MesZL p62 n87c "
350,206,"064, 197","128","DU","U+1207A 𒁺","DU","  "
352,202,66,"129","KAŠ4 (DU-šeššig)","U+1207D 𒁽","DU SHESHIG","  "
113,69,25,"13","BAD ","U+12041 𒁁 ","BAD ","  "
114,69,25,"13*B","ÈŠE (AŠ+U)","U+12458 𒑘","NUMERIC SIGN ONE ESHE3","  "
,,,"130","DÚB DMS","U+12080",,
212,210,77,"131","GEŠTIN (GIŠ.DIN)","U+120FE 𒃾","GESHTIN","  "
381,211,68,"132","UŠ (NITA)","U+12351 𒍑","USH","  "
24,15,312,"133","KA","U+12157 𒅗","KA","DUG4, DUGA4, DU11 "
30,"017an"," ","134","KA×MAŠ/BAR","U+1215E 𒅞","KA TIMES BAR","  "
73,40,186,"134*B","UKKIN (URU×MAŠ/BAR)","U+1233A 𒌺","URU TIMES BAR","  "
31,"018v",315,"135","NUNDUM (KA×NUN)","U+1217B 𒅻","KA TIMES NUN","  "
32,"018x",316,"136","SU6 (KA×SA)","U+1217E 𒅾","KA TIMES SA","  "
36,"022xn1"," ","137","KA×ÚR"," "," ","Hitt. "
,,,"137","KA×ÚR DMS","U+12387",,
40,"023n2"," ","138","KA×PA"," "," ","Hitt. "
,,,"138","KA×PA DMS","U+12384",,
41,"023n3"," ","139","KA×GIŠ"," "," ","Hitt. "
,,,"139","KA×GIŠ DMS","U+12380",,
167,94,14,"14","DIM","U+12074 𒁴","DIM","  "
38,"023n"," ","140","KA×GAG","U+1216F 𒅯","KA TIMES KAK","  "
56,"031n1"," ","141","KA×U","U+12187 𒆇","KA TIMES U","Hitt. "
70,"034n"," ","142","KA×LUM"," "," ","  "
,,,"142","KA×LUM DMS PUA","U+E003",,
51,28," ","143","KA×UD","U+12189 𒆉","KA TIMES UD","  "
54,30,322,"144","BÚN (KA×IM)","U+1216E 𒅮","KA TIMES IM","  "
50,27,323,"145","KA×ŠE","U+12181 𒆁","KA TIMES SHE","  "
26,16,325,"146","TU6 (KA×LI)","U+12172 𒅲","KA TIMES LI","  "
61,32,326,"147","EME (KA×ME)","U+12174 𒅴","KA TIMES ME","  "
64,35,328,"148","NAG (KA×A)","U+12158 𒅘","KA TIMES A","  "
65,36,329,"149","GU7 (KA×NÍG)","U+12165 𒅥","KA TIMES GAR","  "
110,70,24,"15","NA","U+1223E 𒈾","NA","  "
67,"036an"," ","150","KA×ÀŠ"," "," ","Hitt. "
,,,"150","KA×ÀŠ DMS PUA","U+E004",,
357,212,162,"151","IŠ","U+12156 𒅖","ISH","  "
504,306,288,"152","UB","U+12312 𒌒","UB","  "
358,214,79,"153","BI","U+12049 𒁉","BI","  "
362,215,83,"154","ŠIM","U+122C6 𒋆","SHIM","  "
695,437,367,"155","AMAR (ZUR)","U+1202B 𒀫","AMAR","  "
696,438,368,"156","SISKUR (AMAR×ŠE)","U+1202C 𒀬","AMAR TIMES SHE","  "
472,297,118,"157","GU4","U+1211E 𒄞","GUD","  "
566,353,203,"158","ŠA","U+122AD 𒊭","SHA","  "
491,319,201,"159","GA","U+120B5 𒂵","GA","KA3 "
18,50,16,"16","ARAD","U+12034 𒀴","ARAD","  "
248,139,123,"160","TA","U+122EB 𒋫","TA","  "
,"139n2",123,"160*B","TA*","U+122EC 𒋬","TA ASTERISK","Neo-Assyrian "
493,320,204,"161","ÍL (GA.GÍN)","U+1214D 𒅍","IL2","GUR3, GURU3, DUPSIK "
499,309,80,"162","DUG (BI×A) ","U+12081 𒂁 ","DUG ","  "
373,225,85,"163","ŠIM×NÍG (BAPPIR)","U+122CB 𒋋","SHIM TIMES GAR","  "
298,167,141,"164","GAB ","U+12083 𒂃 ","DUH ","  "
686,440,67,"165","GIM (DÍM)","U+12076 𒁶","DIM2","  "
160,"092b",301,"166","UMBIN (GAD.KÍD.ÚR)","U+12322 𒌢","UMBIN","  "
222,133,175,"167","KÁ","U+1218D 𒆍","KA2","  "
309,170,119,"168","AM (GU4×KUR)","U+12120 𒄠","GUD TIMES KUR","  "
313,172,116,"169","NE","U+12248 𒉈","NE","  "
,,,"169B","NE+E DMS PUA","U+E00B",,
98,61,20,"17","MU","U+1222C 𒈬","MU","  "
170,109,124,"170","LÀL (TA×ḪI)","U+122ED 𒋭","TA TIMES HI","  "
301,169,142,"171","TAḪ/DAḪ (MUoverMU)","U+1222D 𒈭","MU OVER MU","  "
312,173,117,"172","BÍL (GIBIL; NE×PAB, NE-šeššig)","U+1224B 𒉋","NE SHESHIG","  "
157,90,299,"173","GAD","U+120F0 𒃰","GAD","  "
,,,"173L","KAT+TA (ligature) DMS PUA","U+F001",,
464,295,143,"174","PA","U+1227A 𒉺","PA","  "
466,"295k"," ","175","ŠAB (PA.IB)","U+1227A 𒉺 & U+12141 𒅁","PA & IB","  "
,,,"176","MAŠKIM = PA+KAŠ₄ DMS","U+1227A & U+1207D","PA & DU SHESHIG",
468,"295m"," ","177","SIPA (PA.LU)","U+1227A 𒉺 & U+121FB 𒇻","PA & LU","  "
469,296,160,"178","GIŠ (GEŠ)","U+12111 𒄑","GISH","  "
755,483,402,"179","LAGAB","U+121B8 𒆸","LAGAB","  "
168,"095, 095v",15,"18","DIM×ŠE, later DIM×KUR","U+12075 𒁵","DIM TIMES SHE","  "
786,511,410,"180","TÚL (LAGAB×U)","U+121E5 𒇥","LAGAB TIMES U","  "
767,491,413,"181","ZAR (LAGAB×SUM)","U+121E1 𒇡","LAGAB TIMES SUM","  "
795,522,414,"182","SUG (LAGAB×A)","U+121B9 𒆹","LAGAB TIMES A","  "
474,298,108,"183","AL","U+12020 𒀠","AL","  "
171,110,70,"184","KU7","U+121AF 𒆯","KU7","  "
180,111,92,"185","GUR","U+12125 𒄥","GUR","  "
719,458,308,"186","LAGAR","U+121EC 𒇬","LAGAR","  "
498,308,167,"187","E","U+1208A 𒂊","E","E ""barley"", ""leather"", EKI, EG2 ""levee"", IG2, I15 "
452,289," ","188","UTUL5 (DAG.KISIM5×GU4)","U+1205F 𒁟","DAG KISIM5 TIMES GUD","  "
455,291,171,"189","UBUR (DAG.KISIM5×GA)","U+1205B 𒁛","DAG KISIM5 TIMES GA","  "
570,355,296,"19","LUL (NAR)","U+1221C 𒈜","LUL","  "
461,"294b"," ","190","DAG.KISIM5×A.MAŠ","U+12057 𒁗","DAG KISIM5 TIMES A PLUS MASH","  "
483,307,144,"191","MAR","U+12225 𒈥","MAR","  "
184,115,309,"192","SAG","U+12295 𒊕","SAG","  "
503,310,145,"193","GURUN","U+12127 𒄧","GURUN","  "
484,313,163,"194","KID (LÍL)","U+121A4 𒆤","KID","  "
490,318,146,"195","Ú","U+12311 𒌑","U2","  "
496,322,176,"196","KAL ","U+12197 𒆗 ","KAL ","  "
501,312,169,"197","UN"," "," ","U+12327 𒌧, erroneously UN GUNU "
,,,"197","UN DMS","U+12326","UN",
494,321,196,"198","LUḪ","U+1221B 𒈛","LUH","  "
495,324,107,"199","É","U+1208D 𒂍","E2","  "
2,2," ","2","AŠ.AŠ","U+12400 𒐀","NUMERIC SIGN TWO ASH","""2"" "
3,2,7,"2*B","ḪAL","U+1212C 𒄬","HAL","  "
120,74,29,"20","MAŠ","U+12226 𒈦","MASH","  "
121,74,57,"20*B","BAR","U+12047 𒁇","BAR","  "
122,74,29,"20*C","BÁN","U+1244F 𒑏","NUMERIC SIGN ONE BAN2","  "
172,104,147,"200","SA","U+12293 𒊓","SA","  "
176,106,89,"201","GÚ (TIK)","U+12118 𒄘","GU2","  "
178,108,88,"202","DUR (GÚxGAG, GÚ.GAG)","U+12119 𒄙","GU2 TIMES KAK","  "
311,171,134,"203","UZU","U+1235C 𒍜","UZU","  "
310,"170an"," ","203*B","AM×A","U+1211F 𒄟","GUD TIMES A PLUS KUR","reconstruction "
502,325,148,"204","NIR (NUNoverNUN)","U+1226A 𒉪","NUN OVER NUN","  "
14,5,303,"205","BA","U+12040 𒁀","BA","  "
808,536,415,"206","KU (DÚR, TUKUL, TUŠ) ","U+121AA 𒆪 ","KU ","  "
,,,"207","MUD₄ = KU!.U.GAG DMS","U+121B8 & U+1230B & U+12195","LAGAB & U & KAK",
552,342,166,"208","MA","U+12220 𒈠","MA","  "
15,6,304,"209","ZU","U+1236A 𒍪","ZU","  "
,,,"209B","GIN9 DMS PUA","U+E00C",,
99,62,269,"21","SÌLA","U+122E1 𒋡","SILA3","  "
812,537,416,"210","LU (UDU)","U+121FB 𒇻","LU","  "
721,"459a",311,"211","DU6 (LAGAR-gunû)","U+121EF 𒇯","LAGAR GUNU","  "
809,536,417,"212","TÚG (NÁM) ","U+12306 𒌆 ","TUG2 ","  "
810,536,420,"212*B","ŠÈ (ÉŠ, GI7, ZÌ) ","U+120A0 𒂠 ","ESH2 ","  "
16,7,305,"213","SU","U+122E2 𒋢","SU","  "
561,335,229,"214","DA","U+12055 𒁕","DA","  "
560,334,230,"215","Á","U+12009 𒀉","A2","  "
756,484,404,"216","ENGUR (LAGAB×ḪAL)","U+121C9 𒇉","LAGAB TIMES HAL","  "
252,142,192,"217","I","U+1213F 𒄿","I","  "
260,"142a",193,"218","IA (I.A)","U+12140 𒅀","I A","  "
