"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PA2",66.475,"H","S1",0,1,"0_gir4","GIG",0
"PA2",259.657,"H","S1",1,2,"2_lugal","LUGAL",1
"PA2",103.798,"H","S1",2,0,"0_ance","ANŠE",1
"PA2",107.234,"H","P1",0,14,"3_sa5","KAL",1
"PA2",80.854,"H","P1",1,3,"0_kiri6","SAR ",1
"PA2",127.702,"H","P1",2,4,"0_nita2","DÌḪ",0
"PA2",27.277,"H","P1",3,11,"2_gir3","GÌR",1
"PA2",22.207,"H","P1",4,13,"3_mac2","TI/TÌL",1
"PA2",111.938,"H","P1",5,0,"0_cudun3","UMBIN",0
"PA2",77.288,"H","P1",6,7,"1_gag","MUŠEN ",0
"PA2",93.36,"H","P1",7,12,"2_nag","BALAG",0
"PA2",128.114,"H","P1",8,5,"0_sig2+munus","SÍG/SÍK/SIKI",0
"PA2",38.214,"H","P1",9,1,"0_gur","GUR",1
"PA2",60.677,"H","P1",10,15,"4_6","DUR",0
"PA2",37.293,"H","P1",11,6,"0_ziz2","ZÍZ",1
"PA2",32.677,"H","P1",12,9,"2_dugud","GE₆",1
"PA2",61.635,"H","P1",13,2,"0_kac4","EGIR",0
"PA2",45.873,"H","P1",14,8,"1_tur","ŠU+NÍGIN",1
"PA2",120.212,"H","P1",15,10,"2_gada","GA",0
"PA2",351.564,"Z","S2",0,1,"0_ku7","GIM",0
"PA2",149.939,"Z","S2",1,0,"0_ejir","KAC",0
"PA2",109.185,"Z","S2",2,2,"2_siskur","CU3DUL",0
"PA2",281.571,"Z","P2",0,12,"2_urudu","DU6",1
"PA2",107.251,"Z","P2",1,10,"2_duh","ITI",1
"PA2",76.565,"Z","P2",2,3,"0_kid","MA2",0
"PA2",127.359,"Z","P2",3,8,"1_gal","GAL",1
"PA2",134.644,"Z","P2",4,1,"0_dam","EREC",0
"PA2",105.271,"Z","P2",5,7,"1_ama","GIDIM",0
"PA2",69.255,"Z","P2",6,11,"2_gig","GIG",1
"PA2",114.4,"Z","P2",7,9,"2_alam","ALAM",1
"PA2",96.028,"Z","P2",8,4,"0_pu2","GI2GIR",1
"PA2",212.274,"Z","P2",9,15,"4_tu7","KAM",1
"PA2",295.521,"Z","P2",10,5,"0_sanga","DIRI",0
"PA2",314.042,"Z","P2",11,2,"0_hub","GIDIM",1
"PA2",337.028,"Z","P2",12,6,"0_sipa","LUH",0
"PA2",134.132,"Z","P2",13,0,"0_ca3","TIBULA",1
"PA2",180.634,"Z","P2",14,14,"3_sir3","UKKIN",0
"PA2",149.956,"Z","P2",15,13,"3_inanna","BAR",0
