"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PB1",121.152,"H","S1",0,0,"0_ance","ANŠE",1
"PB1",88.517,"H","S1",1,1,"0_gir4","GIR₄",1
"PB1",231.44,"H","S1",2,2,"2_lugal","LUGAL",1
"PB1",60.375,"H","P2",0,11,"2_gig","GIG",1
"PB1",170.022,"H","P2",1,15,"4_tu7","ÉLLAG",1
"PB1",66.692,"H","P2",2,10,"2_duh","GU₄/GUD",0
"PB1",92.627,"H","P2",3,6,"0_sipa","SIPA(D)",1
"PB1",424.086,"H","P2",4,2,"0_hub","ÚKUŠ",0
"PB1",52.137,"H","P2",5,1,"0_dam","DAM",1
"PB1",42.683,"H","P2",6,4,"0_pu2","GÍGIR",1
"PB1",40.251,"H","P2",7,8,"1_gal","GAL",1
"PB1",273.122,"H","P2",8,7,"1_ama","GIDIM",0
"PB1",73.259,"H","P2",9,12,"2_urudu","DUB",1
"PB1",56.656,"H","P2",10,3,"0_kid","LÍL",1
"PB1",167.348,"H","P2",11,0,"0_ca3","ŠÀ/ŠAG₄",1
"PB1",188.98,"H","P2",12,14,"3_sir3","AZU/ÚZU",0
"PB1",348.015,"H","P2",13,9,"2_alam","ALAM/ALAN",1
"PB1",185.482,"H","P2",14,13,"3_inanna","LAGAR",1
"PB1",90.51,"H","P2",15,5,"0_sanga","SANGA",1
"PB1",153.037,"Z","S2",0,0,"0_ejir","KAC",0
"PB1",79.856,"Z","S2",1,1,"0_ku7","KU",0
"PB1",205.787,"Z","S2",2,2,"2_siskur","SISKUR",1
"PB1",147.687,"Z","P1",0,4,"0_nita2","ARAD",1
"PB1",115.141,"Z","P1",1,15,"4_6","LA5",1
"PB1",184.003,"Z","P1",2,10,"2_gada","PAN",0
"PB1",304.398,"Z","P1",3,13,"3_mac2","MA2C",1
"PB1",145.331,"Z","P1",4,7,"1_gag","ACGAB",0
"PB1",188.57,"Z","P1",5,0,"0_cudun3","CU3DUL",1
"PB1",69.078,"Z","P1",6,1,"0_gur","GUR",1
"PB1",286.485,"Z","P1",7,5,"0_sig2+munus","PE2C",0
"PB1",135.272,"Z","P1",8,6,"0_ziz2","ZI2Z",1
"PB1",321.025,"Z","P1",9,14,"3_sa5","UL4",0
"PB1",164.397,"Z","P1",10,12,"2_nag","KA2",0
"PB1",88.365,"Z","P1",11,3,"0_kiri6","KIRI6",1
"PB1",50.845,"Z","P1",12,9,"2_dugud","DUGUD",1
"PB1",96.965,"Z","P1",13,11,"2_gir3","GI3R",1
"PB1",82.745,"Z","P1",14,2,"0_kac4","KAC4",1
"PB1",61.419,"Z","P1",15,8,"1_tur","DUMU",1
